Product Name,Launch Year,Status,What it does?,Brand
Xigua Video (TopBuzz Video),2016,Active,Short-form video and news platform,ByteDance 
Helo,2018,Active,Social media platform for global markets,ByteDance 
Vigo Video (Flipagram),2017,Merged with TikTok,Short-form video platform,ByteDance 
Jinri Toutiao (TouTiao),2012,Active,News and content aggregator,ByteDance 
Douyin Huoshan,2018,Active,Short-form video app,ByteDance 
Douyin Xigua,2020,Active,Short-form video app,ByteDance 
Feishu (Lark in international markets),2018,Active,Collaboration and productivity platform,ByteDance 
Douyin Pipixia,2020,Active,Short-form video app,ByteDance 
Xigua Qutoutiao,2015,Active,News and content aggregator,ByteDance 
TopBuzz,2015,Merged with TikTok,Content discovery platform,ByteDance 
News Republic,2008,Acquired by ByteDance in 2017,News aggregator,ByteDance 
BaBe (Acquired by ByteDance),2016,Acquired,Indonesian news aggregator,ByteDance 
Huoshan Video,2017,Discontinued,Short-form video app,ByteDance 
Flipchat,2017,Discontinued,Video chat app,ByteDance 
Hypstar (Vigo Video),2016,Merged with TikTok,Short-form video app,ByteDance 
Ulike,2017,Active,Beauty and makeup app,ByteDance 
CapCut (Viamaker),2018,Active,Video editing app,ByteDance 
Lark Meetings,2019,Active,Video conferencing and collaboration app,ByteDance 
FaceU,2016,Active,Augmented reality (AR) photo and video app,ByteDance 
Xigua Guoke,2020,Active,Knowledge-sharing platform,ByteDance 
Worktrans,2018,Active,HR and workplace management platform,ByteDance 
Volcano Engine,2019,Active,Real-time 3D rendering engine,ByteDance 
Watermelon Video,2017,Active,Short-form video app,ByteDance 
BytePlus,2019,Active,AI-driven content recommendation platform,ByteDance 
Pipixia,2016,Active,News and content aggregator,ByteDance 
Google Search,1997,Active,Web search engine,Google 
Gmail,2004,Active,Email service,Google 
Google Maps,2005,Active,Mapping and navigation,Google 
YouTube,2005,Active,Video sharing platform,Google 
Google Docs,2006,Active,Online document editing and collaboration,Google 
Google Calendar,2006,Active,Online calendar,Google 
Google Chrome,2008,Active,Web browser,Google 
Google Drive,2012,Active,Cloud storage and file synchronization,Google 
Google+ (discontinued),2011,Discontinued,Social networking service,Google 
Google Photos,2015,Active,Photo and video storage and sharing,Google 
Google Assistant,2016,Active,Virtual assistant,Google 
Google Home,2016,Active,Smart speaker,Google 
Google Pixel,2016,Active,Line of consumer electronic devices,Google 
Google Duo,2016,Active,Video chat app,Google 
Google Allo (discontinued),2016,Discontinued,Messaging app with virtual assistant,Google 
Google Podcasts,2018,Active,Podcast player and app,Google 
Google Stadia,2019,Active,Cloud gaming service,Google 
Google Meet,2017,Active,Video conferencing service,Google 
Google Classroom,2014,Active,Online learning platform for schools,Google 
Google Earth,2001,Active,"Virtual globe, map, and geographical information",Google 
Google Translate,2006,Active,Language translation service,Google 
Google Photos,2015,Active,Photo and video storage and sharing,Google 
Google News,2002,Active,News aggregator,Google 
Google Fit,2014,Active,Health tracking platform,Google 
Google Pay,2011 (as Google Wallet),Active,Digital wallet and payment service,Google 
Google Trends,2006,Active,Search trends analysis,Google 
Google Analytics,2005,Active,Web analytics service,Google 
Google AdWords (rebranded as Google Ads),2000,Active,Online advertising platform,Google 
Google Cloud Platform,2008,Active,Cloud computing services,Google 
Google Nest,2011 (as Nest Labs),Active,Smart home products,Google 
Google Workspace,2006 (as Google Apps),Active,"Suite of cloud computing, productivity, and collaboration tools",Google 
Facebook,2004,Active,Social networking platform,Meta 
Instagram,2010,Active,Photo and video sharing platform,Meta 
WhatsApp,2009,Active,Messaging and voice over IP (VoIP) service,Meta 
Oculus Rift,2016,Active,Virtual reality headset,Meta 
Oculus Quest,2019,Active,All-in-one virtual reality system,Meta 
Oculus Go,2018,Discontinued,Standalone virtual reality headset,Meta 
Portal,2018,Active,Smart display and video calling device,Meta 
Workplace by Facebook,2016,Active,Enterprise collaboration platform,Meta 
Facebook Messenger,2011,Active,Instant messaging and video calling,Meta 
Facebook Gaming,2018,Active,Gaming platform for live streaming,Meta 
Facebook Watch,2017,Active,Video-on-demand service,Meta 
Novi (formerly Calibra),2019,Active,Digital wallet for the Libra (Diem) cryptocurrency,Meta 
Facebook Horizon,2020,Active (Beta),Social virtual reality (VR) world,Meta 
Spark AR Studio,2015,Active,Augmented reality (AR) creation platform,Meta 
Facebook Dating,2019,Active,Online dating service within the Facebook app,Meta 
Oculus Link,2019,Active,Software feature for connecting Oculus Quest to a PC for high-end VR experiences,Meta 
Instagram Reels,2020,Active,Short-form video content on Instagram,Meta 
Facebook Shops,2020,Active,E-commerce platform integrated with Facebook and Instagram,Meta 
Oculus Move,2020,Active,Fitness tracking for Oculus VR users,Meta 
Facebook Horizon Workrooms,2021,Active,Virtual reality meeting and collaboration space,Meta 
Meta Quest,2021,Active,All-in-one virtual reality system (rebranded Oculus Quest),Meta 
Facebook Meta,2021,Active,"Parent company overseeing Facebook, Instagram, WhatsApp, and other products",Meta 
Meta Horizon Venues,2019,Active,Virtual reality spaces for events and gatherings,Meta 
Oculus Air Link,2021,Active,Wireless PC connection for Oculus Quest 2,Meta 
Meta Business Suite,2021,Active,Social media management tools for businesses,Meta 
Meta Quest 2,2020,Active,All-in-one virtual reality system (successor to Oculus Quest),Meta 
Meta Quest Pro,Expected in 2022,Upcoming,Upcoming professional-grade virtual reality headset,Meta 
Windows,1985,Active,Operating system for personal computers,Microsoft 
Microsoft Office,1989,Active,"Productivity suite including Word, Excel, PowerPoint",Microsoft 
Azure,2010,Active,Cloud computing platform,Microsoft 
Microsoft Edge,2015,Active,Web browser,Microsoft 
Microsoft Teams,2017,Active,"Collaboration platform for chat, video, and file sharing",Microsoft 
Microsoft 365,2011,Active,Cloud-based subscription service with Office apps,Microsoft 
Xbox,2001,Active,Gaming console and gaming services,Microsoft 
Outlook,2012,Active,Email and personal information manager,Microsoft 
OneDrive,2007,Active,Cloud storage service,Microsoft 
Skype,2003,Active,"Video and voice calling, instant messaging",Microsoft 
Microsoft Dynamics,2001,Active,Enterprise resource planning (ERP) and customer relationship management (CRM),Microsoft 
Visual Studio,1997,Active,Integrated development environment (IDE),Microsoft 
SQL Server,1989,Active,Relational database management system (RDBMS),Microsoft 
Power BI,2013,Active,Business analytics service,Microsoft 
Windows Server,2003,Active,Operating system for servers,Microsoft 
Microsoft Surface,2012,Active,Line of personal computing devices,Microsoft 
Microsoft Flight Simulator,1982,Active,Flight simulation software,Microsoft 
Microsoft Defender,2006,Active,Antivirus and antimalware software,Microsoft 
Visual Studio Code,2015,Active,Source-code editor,Microsoft 
Microsoft Access,1992,Active,Database management system (DBMS),Microsoft 
Microsoft Visio,1992,Active,Diagramming and vector graphics application,Microsoft 
Microsoft SharePoint,2001,Active,Collaborative platform for document management and storage,Microsoft 
Microsoft Exchange Server,1993,Active,"Email, calendaring, and contact management server",Microsoft 
Microsoft Power Platform,2019,Active,"Suite of applications, connectors, and a data platform for automating workflows",Microsoft 
Microsoft HoloLens,2016,Active,Augmented reality headset,Microsoft 
Microsoft To Do,2017,Active,Task management app,Microsoft 
Minecraft,2011,Active,Sandbox video game,Microsoft 
LinkedIn,2002,Active,Professional networking platform,Microsoft 
Microsoft Edge (Chromium),2020,Active,Web browser (Chromium-based version),Microsoft 
Microsoft Power Automate,2016 (as Microsoft Flow),Active,Workflow automation tool,Microsoft 
GitHub,2008,Active,Web-based hosting service for version control using Git,Microsoft 
WeChat,2011,Active,"Multi-purpose messaging, social media, and mobile payment app",Tencent 
QQ,1999,Active,Instant messaging platform,Tencent 
Tencent Cloud,2010,Active,Cloud computing services,Tencent 
Tencent Video,2011,Active,Online video streaming platform,Tencent 
Tencent Music,2016,Active,Online music streaming and music services,Tencent 
Tencent Gaming,Various,Active,Various online and mobile games,Tencent 
Honor of Kings (Arena of Valor),2015,Active,Multiplayer online battle arena (MOBA) game,Tencent 
PUBG Mobile,2018,Active,Battle Royale mobile game,Tencent 
WeGame,2017,Active,Digital distribution platform for PC and mobile games,Tencent 
Tencent Pictures,2015,Active,Film and television production and distribution,Tencent 
Tencent News,2010,Active,News aggregation and content platform,Tencent 
Tencent Sports,2016,Active,Sports content platform,Tencent 
Tencent Maps,2011,Active,Mapping and navigation,Tencent 
Tencent AI Lab,2016,Active,Artificial intelligence research and development,Tencent 
Tencent Keen Security Lab,2016,Active,Cybersecurity research and development,Tencent 
Tencent QQ Music,2003,Active,Online music streaming service,Tencent 
Tencent Penguin Pictures,2014,Active,Film and television production,Tencent 
Tencent Traveler,2012,Active,Web browser,Tencent 
Tencent Video (International),2015,Active,International version of Tencent Video,Tencent 
Tencent Weibo,2010,Active,Microblogging service,Tencent 
Tencent Class,2020,Active,Online education platform,Tencent 
Tencent Meeting,2018,Active,Video conferencing platform,Tencent 
Tencent Keen,2020,Active,Content discovery and curation platform,Tencent 
Tencent Docs,2018,Active,Online document collaboration,Tencent 
Tencent Open Platform,2013,Active,Developer platform for third-party integrations,Tencent 
Tencent Trusted Doctors,2014,Active,Online healthcare platform,Tencent 
Tencent Myapp,2012,Active,Mobile app store,Tencent 
Tencent Weiyun,2012,Active,Cloud storage service,Tencent 
QQ Mail,1997,Active,Email service,Tencent 
Tencent QQ Browser,2008,Active,Web browser,Tencent 
Tencent Mimi,2020,Active,Short-form video platform,Tencent 
Tencent Mina,2020,Active,Social networking app,Tencent 
Tencent Pitu,2014,Active,Photo editing and sharing app,Tencent 
Tencent VooV,2018,Active,Video conferencing and communication platform,Tencent 
Yandex Search,1997,Active,Search engine,Yandex 
Yandex.Mail,2001,Active,Email service,Yandex 
Yandex.Maps,2004,Active,Mapping and navigation,Yandex 
Yandex.Translate,2010,Active,Language translation service,Yandex 
Yandex.Disk,2012,Active,Cloud storage service,Yandex 
Yandex.Taxi,2011,Active,Ride-hailing and food delivery service,Yandex 
Yandex.Navigator,2012,Active,Navigation app,Yandex 
Yandex.Music,2010,Active,Music streaming service,Yandex 
Yandex.Images,2000,Active,Image search engine,Yandex 
Yandex.Video,2008,Active,Video hosting and streaming service,Yandex 
Yandex.News,2000,Active,News aggregator,Yandex 
Yandex.Translate,2010,Active,Language translation service,Yandex 
Yandex.Drive,2011,Active,Cloud storage and file synchronization,Yandex 
Yandex.Toloka,2015,Active,Crowdsourcing platform for tasks,Yandex 
Yandex.Direct,2001,Active,Online advertising platform,Yandex 
Yandex.Market,2000,Active,Online marketplace and price comparison platform,Yandex 
Yandex.Metro,2007,Active,Moscow Metro navigation app,Yandex 
Yandex.Weather,2010,Active,Weather information service,Yandex 
Yandex.Calendar,2011,Active,Online calendar service,Yandex 
Yandex.Translate,2010,Active,Language translation service,Yandex 
Yandex.Navigator,2012,Active,Navigation app,Yandex 
Yandex.Turbo,2009,Active,Web page acceleration service,Yandex 
Yandex.DNS,2011,Active,Domain Name System (DNS) service,Yandex 
Yandex.Money,2002,Active,Online payment and electronic money service,Yandex 
Yandex.Tank,2010,Active,Load testing tool for web applications,Yandex 
Yandex.Lavka,2020,Active,Online grocery delivery service,Yandex 
Yandex.Telemost,2020,Active,Video conferencing platform,Yandex 
Yandex.Disk (for Business),2012,Active,Cloud storage and collaboration for businesses,Yandex 
Yandex.Cloud,2018,Active,Cloud computing platform,Yandex 
Yandex.Station,2018,Active,Smart speaker with voice assistant (Alice),Yandex 
Yandex.Taximeter,2011,Active,Mobile app for taxi drivers,Yandex 
Yandex.Maps (for Business),2008,Active,Mapping and navigation for businesses,Yandex 
Yandex Browser,2012,Active,Web browser with security features,Yandex 
Yandex.Metrica,2008,Active,Web analytics service,Yandex 
Yandex Launcher,2015,Active,Android launcher,Yandex 
Yandex.Zen,2015,Active,Content recommendation platform,Yandex 
Yandex.Eats,2017,Active,Food delivery service,Yandex 
Yandex.Fuel,2014,Active,Fuel price comparison app,Yandex 
Yandex.Mobilizatsiya,2015,Active,Fleet management and optimization,Yandex 
Yandex.Taxofon,2019,Active,Mobile app for business taxi,Yandex 
